n,x0_index,method,h,iterations,grad_norm,converged,time_sec,conv_rate_est,conv_type,history
1000,5,TN (FD),1e-12,13,7.656382996417006e-08,True,1.1541085420176387,1.547792301361369,Superlinear,"[1495.405687942301, 438.45268848149914, 145.2675076790276, 44.53352705870097, 12.852024124491255, 9.038211903022633, 2.8118442800200234, 1.21558204685017, 0.44770810995170984, 0.06390023486642844, 0.01349012906783272, 0.0009195176802278086, 2.2746551741560827e-05, 7.656382996417006e-08]"
10000,0,MN (Exact),,0,400.5920618284891,False,0.0006249169819056988,,N/A (Too fast/Unstable),[400.5920618284891]
10000,0,TN (Exact),,11,6.54126033324009e-06,True,0.03631941694766283,1.463788116546862,Superlinear,"[400.5920618284891, 94.4108652026861, 22.33136222819022, 7.613690995024001, 2.6052974329288197, 0.9161075534930408, 0.4420180037672661, 0.18698209580262495, 0.043919448948975544, 0.009164342812291733, 0.0003905553024016114, 6.54126033324009e-06]"
10000,0,MN (FD),0.0001,0,400.5920618284891,False,0.0003625419922173023,,N/A (Too fast/Unstable),[400.5920618284891]
10000,0,TN (FD),0.0001,11,6.541261649543305e-06,True,7.453635874669999,1.463788115008563,Superlinear,"[400.5920618284891, 94.41086605109471, 22.33136229469996, 7.613690722382347, 2.6052973930826613, 0.9161075628349982, 0.4420179999467694, 0.1869820991393725, 0.043919449335867194, 0.009164343614822492, 0.0003905552986659749, 6.541261649543305e-06]"
10000,0,MN (FD),1e-08,0,400.5920618284891,False,0.0003505423665046692,,N/A (Too fast/Unstable),[400.5920618284891]
10000,0,TN (FD),1e-08,11,6.541261127919372e-06,True,8.022892749868333,1.4637881247521722,Superlinear,"[400.5920618284891, 94.41086390837764, 22.331362141174324, 7.613691099418906, 2.6052974571355336, 0.9161075881077859, 0.4420180149172506, 0.18698210468922874, 0.04391945141713439, 0.009164343698698549, 0.0003905553484163677, 6.541261127919372e-06]"
10000,0,MN (FD),1e-12,0,400.5920618284891,False,0.0003197919577360153,,N/A (Too fast/Unstable),[400.5920618284891]
10000,0,TN (FD),1e-12,11,6.537036043593988e-06,True,7.574305166956037,1.4640474053197927,Superlinear,"[400.5920618284891, 94.41099713909396, 22.331130472597156, 7.61451343398139, 2.6056539422094867, 0.916301195997557, 0.44204668652892865, 0.18702893415567956, 0.043931553777038355, 0.009172037061748418, 0.00039067726154449193, 6.537036043593988e-06]"
10000,1,MN (Exact),,0,4484.79777781501,False,0.0005633332766592503,,N/A (Too fast/Unstable),[4484.79777781501]
10000,1,TN (Exact),,14,4.2553540262758005e-06,True,0.060766459442675114,1.4587332323011202,Superlinear,"[4484.79777781501, 1330.068185668769, 454.84243569931033, 147.08864095307175, 43.49998881813725, 20.748288970134144, 7.947684163687503, 3.4042360045698246, 0.9569693588990444, 0.41722783245035444, 0.15403369617027357, 0.03850809077496449, 0.006253900203124429, 0.00029103917522405406, 4.2553540262758005e-06]"
10000,1,MN (FD),0.0001,0,4484.79777781501,False,0.0003588330000638962,,N/A (Too fast/Unstable),[4484.79777781501]
10000,1,TN (FD),0.0001,14,4.255354158058652e-06,True,9.61208612471819,1.4587332172243581,Superlinear,"[4484.79777781501, 1330.06818657224, 454.8424358391443, 147.08864068207757, 43.499988220364884, 20.748289157538032, 7.947684031018167, 3.4042358976837463, 0.9569692762163137, 0.4172278032055069, 0.15403368116076183, 0.038508086382441055, 0.0062538997625865515, 0.0002910391476275399, 4.255354158058652e-06]"
10000,1,MN (FD),1e-08,0,4484.79777781501,False,0.00030058296397328377,,N/A (Too fast/Unstable),[4484.79777781501]
10000,1,TN (FD),1e-08,14,4.255354152886507e-06,True,9.596407625358552,1.458733225031341,Superlinear,"[4484.79777781501, 1330.068177548808, 454.8424345269921, 147.08863955684623, 43.49998859397247, 20.748288870620353, 7.947684046448941, 3.4042359234893627, 0.9569693305161261, 0.4172278216387346, 0.15403369209893655, 0.038508089370869414, 0.0062539001345165, 0.00029103916643272843, 4.255354152886507e-06]"
10000,1,MN (FD),1e-12,0,4484.79777781501,False,0.00034970883280038834,,N/A (Too fast/Unstable),[4484.79777781501]
10000,1,TN (FD),1e-12,14,4.255534154328164e-06,True,9.572939124889672,1.458727703647772,Superlinear,"[4484.79777781501, 1330.1918993369127, 454.86039328892474, 147.1029102242222, 43.501733230889116, 20.750704295131552, 7.94869878302945, 3.404792766973799, 0.957040550335336, 0.4172739404488902, 0.15404192565520944, 0.03851132752072083, 0.006253504828632334, 0.0002910458057714297, 4.255534154328164e-06]"
10000,2,MN (Exact),,0,4561.93721875277,False,0.00034354068338871,,N/A (Too fast/Unstable),[4561.93721875277]
10000,2,TN (Exact),,14,1.6989289905441708e-07,True,0.047842999920248985,1.624100890552761,Superlinear,"[4561.93721875277, 1357.3222733348027, 461.16596461992407, 147.32923524669275, 41.358282005741515, 18.971327034471607, 6.56826352688736, 2.697690943545302, 0.691228256630496, 0.3065637220287319, 0.10822734030353574, 0.02686384364813266, 0.0015064396789410406, 4.465398206617982e-05, 1.6989289905441708e-07]"
10000,2,MN (FD),0.0001,0,4561.93721875277,False,0.0002885828725993633,,N/A (Too fast/Unstable),[4561.93721875277]
10000,2,TN (FD),0.0001,14,1.6989290174674915e-07,True,10.45517108310014,1.6241008841466014,Superlinear,"[4561.93721875277, 1357.3222742394698, 461.165964780286, 147.32923496928186, 41.35828146988839, 18.971327224593395, 6.568263441054197, 2.6976908799258714, 0.6912282096775295, 0.3065637062619729, 0.10822733386453454, 0.026863841931569873, 0.0015064395608934585, 4.4653979702178095e-05, 1.6989290174674915e-07]"
10000,2,MN (FD),1e-08,0,4561.93721875277,False,0.0004027080722153187,,N/A (Too fast/Unstable),[4561.93721875277]
10000,2,TN (FD),1e-08,14,1.6989290640886008e-07,True,10.402155166957527,1.6241008829732095,Superlinear,"[4561.93721875277, 1357.3222651578435, 461.1659633932847, 147.3292338137503, 41.358281764605636, 18.97132694250727, 6.568263439367349, 2.697690877850823, 0.6912282382578849, 0.30656371477165983, 0.10822733831832207, 0.026863842929355862, 0.0015064396426054812, 4.465398210529555e-05, 1.6989290640886008e-07]"
10000,2,MN (FD),1e-12,0,4561.93721875277,False,0.00034129200503230095,,N/A (Too fast/Unstable),[4561.93721875277]
