n,x0_index,method,h,iterations,grad_norm,converged,time_sec,conv_rate_est,conv_type,history
2,1,TN (FD),0.0001,3,1.4255262509993675e-10,True,0.0010827919468283653,2.869711233725537,Quadratic,"[2.1124490132898557, 0.2958404761672559, 0.001450564283328632, 1.4255262509993675e-10]"
2,1,MN (FD),1e-08,3,1.3105117275492722e-09,True,0.0013326248154044151,2.8610161310473603,Quadratic,"[2.1124490132898557, 0.3569255944051174, 0.0026841846720146406, 1.3105117275492722e-09]"
2,1,TN (FD),1e-08,3,1.4600035617681744e-10,True,0.0014582918956875801,2.867464349873667,Quadratic,"[2.1124490132898557, 0.2958404646075474, 0.0014505652052319627, 1.4600035617681744e-10]"
2,1,MN (FD),1e-12,3,2.3619282694603686e-07,True,0.0011607077904045582,2.3298297304405504,Quadratic,"[2.1124490132898557, 0.3569644585496689, 0.0026517356694503416, 2.3619282694603686e-07]"
2,1,TN (FD),1e-12,3,9.104099132268016e-08,True,0.0020694159902632236,2.2623462586153207,Quadratic,"[2.1124490132898557, 0.2958827290629915, 0.001428972312966623, 9.104099132268016e-08]"
2,2,MN (Exact),,5,7.132072710192006e-13,True,0.0017303340137004852,2.9281755191880117,Quadratic,"[2.0692486595013433, 1.9486835750779234, 0.9350401821038976, 0.06455895272035056, 1.7951639781466078e-05, 7.132072710192006e-13]"
2,2,TN (Exact),,4,3.510833468576701e-16,True,0.0006331661716103554,3.587018055364665,Quadratic,"[2.0692486595013433, 1.1686080025348118, 0.0797293889172946, 1.7574312061442725e-05, 3.510833468576701e-16]"
2,2,MN (FD),0.0001,5,7.132072710192006e-13,True,0.00111008295789361,2.92817551678713,Quadratic,"[2.0692486595013433, 1.9486835749906117, 0.9350401811487645, 0.06455895212269544, 1.7951615377098662e-05, 7.132072710192006e-13]"
2,2,TN (FD),0.0001,4,2.9440175640723586e-14,True,0.0006034998223185539,3.4116770605477242,Quadratic,"[2.0692486595013433, 1.1686080025348118, 0.07972939102703376, 1.757444592382443e-05, 2.9440175640723586e-14]"
2,2,MN (FD),1e-08,5,1.9655488348039123e-10,True,0.0010854997672140598,2.698452094244212,Quadratic,"[2.0692486595013433, 1.9486835748631108, 0.9350696399504542, 0.06457669434969761, 1.864961710418278e-05, 1.9655488348039123e-10]"
2,2,TN (FD),1e-08,4,3.9173885506028036e-14,True,0.0018087076023221016,3.4003687088627292,Quadratic,"[2.0692486595013433, 1.1686080025348118, 0.07972938107760738, 1.7574627418850464e-05, 3.9173885506028036e-14]"
2,2,MN (FD),1e-12,8,3.1083951838040136e-06,True,0.003556957934051752,1.0001256892377035,Linear,"[2.0692486595013433, 1.9486843091931891, 1.2028108242045978, 0.29777771075931675, 0.031681240683556045, 0.0031551450119666757, 0.0003139477354604514, 3.123897843249068e-05, 3.1083951838040136e-06]"
2,2,TN (FD),1e-12,4,6.267574572096934e-10,True,0.0007113330066204071,3.0211370642364592,Quadratic,"[2.0692486595013433, 1.1686080025348118, 0.07971936319935015, 1.5803404731627093e-05, 6.267574572096934e-10]"
2,3,MN (Exact),,3,5.282203724240256e-13,True,0.0009965002536773682,3.9284260616837408,Quadratic,"[0.6964305745421906, 0.17684080166560887, 0.0002055860076203018, 5.282203724240256e-13]"
2,3,TN (Exact),,4,1.8500191449363292e-07,True,0.0006034579128026962,1.8358455917538183,Quadratic,"[0.6964305745421906, 1.8794597479118496, 0.6527666189705199, 0.01606688867250424, 1.8500191449363292e-07]"
2,3,MN (FD),0.0001,3,5.528811232126968e-13,True,0.00071387505158782,3.925049666466659,Quadratic,"[0.6964305745421906, 0.17684080162909413, 0.00020558602941584558, 5.528811232126968e-13]"
2,3,TN (FD),0.0001,4,1.8502832730075432e-07,True,0.0005958331748843193,1.8358327494898183,Quadratic,"[0.6964305745421906, 1.8794597479118496, 0.6527666189705199, 0.01606688978759389, 1.8502832730075432e-07]"
2,3,MN (FD),1e-08,3,2.0199832961757084e-09,True,0.0013606250286102295,3.316927349742649,Quadratic,"[0.6964305745421906, 0.17684080164733804, 0.00020696823666728194, 2.0199832961757084e-09]"
2,3,TN (FD),1e-08,4,1.8510961346416502e-07,True,0.001092500053346157,1.83579321759055,Quadratic,"[0.6964305745421906, 1.8794597479118496, 0.6527666189705199, 0.016066886612598412, 1.8510961346416502e-07]"
2,3,MN (FD),1e-12,6,1.4027893572299277e-06,True,0.0017049997113645077,0.9999441446597865,Linear,"[0.6964305745421906, 0.17684152435560826, 0.01429812120872013, 0.0014225955347964383, 0.0001415961999400306, 1.4093603891041084e-05, 1.4027893572299277e-06]"
2,3,TN (FD),1e-12,4,6.856625778130297e-07,True,0.0006223749369382858,1.7179634999378148,Superlinear,"[0.6964305745421906, 1.8794597479118496, 0.6527666189705199, 0.01606321444483243, 6.856625778130297e-07]"
2,4,MN (Exact),,3,1.7114376582597594e-10,True,0.0006304997950792313,2.764995828764111,Quadratic,"[2.231661792897841, 0.2749467781001088, 0.0013692571725533354, 1.7114376582597594e-10]"
2,4,TN (Exact),,3,1.5665022713165386e-10,True,0.0009894170798361301,2.7724587168084476,Quadratic,"[2.231661792897841, 0.2749467781001088, 0.001360621485055373, 1.5665022713165386e-10]"
2,4,MN (FD),0.0001,3,1.7342638443016832e-10,True,0.0006008748896420002,2.763746488678179,Quadratic,"[2.231661792897841, 0.27494677863142913, 0.0013692576281020823, 1.7342638443016832e-10]"
2,4,TN (FD),0.0001,3,1.589084606468517e-10,True,0.0005995831452310085,2.771110692066536,Quadratic,"[2.231661792897841, 0.27494677863142913, 0.0013606219409453687, 1.589084606468517e-10]"
2,4,MN (FD),1e-08,3,1.7076240454948727e-10,True,0.000662749633193016,2.765206152875371,Quadratic,"[2.231661792897841, 0.27494676564534337, 0.0013692570608635486, 1.7076240454948727e-10]"
2,4,TN (FD),1e-08,3,1.5554746483199628e-10,True,0.0005914578214287758,2.7731240694623254,Quadratic,"[2.231661792897841, 0.27494676564534337, 0.0013606214458433104, 1.5554746483199628e-10]"
2,4,MN (FD),1e-12,3,4.81477898928648e-08,True,0.0005632094107568264,2.2328475093886766,Quadratic,"[2.231661792897841, 0.2748098074421174, 0.0013685392474092988, 4.81477898928648e-08]"
