n,x0_index,method,h,iterations,grad_norm,converged,time_sec,history
2,2,TN (FD),1e-12,6,7.938377134013834e-08,True,0.0043130419217050076,"[2.6172517291333066, 2.891486584432276, 2.982201620321196, 0.8613523968575661, 0.02763331160432603, 4.735028344424861e-05, 7.938377134013834e-08]"
2,3,MN (Exact),,5,1.4438317067926194e-06,True,0.0010493341833353043,"[2.2078280979190357, 2.521710471713808, 2.3060631966969525, 0.8369671949329888, 0.02834088880640276, 1.4438317067926194e-06]"
2,3,TN (Exact),,6,2.161990255064033e-08,True,0.0008281669579446316,"[2.2078280979190357, 0.3644759745127365, 0.8963026660937103, 2.1398259500578702, 0.6294290069382401, 0.00865613450721469, 2.161990255064033e-08]"
2,3,MN (FD),0.0001,5,1.4438866688162083e-06,True,0.0010543330572545528,"[2.2078280979190357, 2.5217104704567537, 2.3060631990285496, 0.8369672438811103, 0.02834089737695623, 1.4438866688162083e-06]"
2,3,TN (FD),0.0001,6,2.1634341670422908e-08,True,0.0028138328343629837,"[2.2078280979190357, 0.3644759785391302, 0.8963026691857747, 2.1398259523907117, 0.6294290172939462, 0.008656136028434163, 2.1634341670422908e-08]"
2,3,MN (FD),1e-08,5,1.7465591379709639e-06,True,0.002154374960809946,"[2.2078280979190357, 2.5217104650895896, 2.3060811420887783, 0.8372423870209824, 0.028387554369906948, 1.7465591379709639e-06]"
2,3,TN (FD),1e-08,6,2.1647628028322674e-08,True,0.0030460827983915806,"[2.2078280979190357, 0.36447600208386155, 0.8963026872669243, 2.1398259660322325, 0.6294290778499516, 0.008656137814218236, 2.1647628028322674e-08]"
2,3,MN (FD),1e-12,10,4.344250018939455e-06,True,0.0071772919036448,"[2.2078280979190357, 2.521715101472606, 2.399972680220852, 2.2471761141793563, 1.3711226501042633, 0.395579051138999, 0.04422481781687485, 0.00440694151804677, 0.000438636644860102, 4.3645991163243636e-05, 4.344250018939455e-06]"
2,3,TN (FD),1e-12,6,3.538702370146502e-07,True,0.0018786247819662094,"[2.2078280979190357, 0.36523424292142703, 0.8968851253964595, 2.140265283075539, 0.6313771505367654, 0.008741115256057098, 3.538702370146502e-07]"
2,4,MN (Exact),,7,4.3073655899803435e-11,True,0.0026983339339494705,"[3.0636661289066964, 2.2259559528855077, 2.031013544265315, 1.919215693718202, 1.336562033493207, 0.23416244406557452, 0.0008645055869919149, 4.3073655899803435e-11]"
2,4,TN (Exact),,7,2.2852086322059944e-11,True,0.0013850843533873558,"[3.0636661289066964, 2.2259559528855073, 2.0302714895707026, 1.914239352684847, 1.3136088375987733, 0.21854941286675325, 0.0007007446256020889, 2.2852086322059944e-11]"
2,4,MN (FD),0.0001,7,4.4518056050087086e-11,True,0.002657750155776739,"[3.0636661289066964, 2.2259559532419715, 2.0310136594591968, 1.9192163660447858, 1.3365649770758852, 0.23416447665506557, 0.0008645286416332221, 4.4518056050087086e-11]"
2,4,TN (FD),0.0001,7,2.4022026243629914e-11,True,0.006409458816051483,"[3.0636661289066964, 2.2259559532419715, 2.0302716160792387, 1.9142401011519758, 1.3136120721560849, 0.2185515125069699, 0.000700765322744476, 2.4022026243629914e-11]"
2,4,MN (FD),1e-08,7,4.3727244192210336e-11,True,0.002287125214934349,"[3.0636661289066964, 2.225955915528553, 2.031012625018999, 1.9192105192548425, 1.3365394162366653, 0.23414686850890232, 0.0008643320505463681, 4.3727244192210336e-11]"
2,4,TN (FD),1e-08,7,2.5635165429690416e-11,True,0.004644124768674374,"[3.0636661289066964, 2.2259559155285524, 2.030271130619688, 1.9142378876808634, 1.3136035686816312, 0.21854621398075447, 0.0007007146253838254, 2.5635165429690416e-11]"
2,4,MN (FD),1e-12,7,8.601851453463876e-10,True,0.005964333191514015,"[3.0636661289066964, 2.226660463524277, 2.020192580865959, 1.8536894201340335, 1.0820539095239667, 0.10698596558977336, 8.257028796332389e-05, 8.601851453463876e-10]"
2,4,TN (FD),1e-12,6,5.408375129268514e-06,True,0.001612416934221983,"[3.0636661289066964, 2.2266604635242766, 2.007130511535658, 1.7648177334977573, 0.8060669904272012, 0.03883836554324198, 5.408375129268514e-06]"
2,5,MN (Exact),,3,4.2122093137104665e-07,True,0.0008342079818248749,"[1.3916242059429247, 0.6600902938185612, 0.01849038000916059, 4.2122093137104665e-07]"
2,5,TN (Exact),,6,3.510833468576701e-16,True,0.0008410420268774033,"[1.3916242059429247, 2.1145271650499184, 2.0053515558155683, 1.102941280283718, 0.07578510251564215, 1.6542898847891085e-05, 3.510833468576701e-16]"
2,5,MN (FD),0.0001,3,4.213836267892649e-07,True,0.0007391246035695076,"[1.3916242059429247, 0.660090293719326, 0.018490385809725677, 4.213836267892649e-07]"
2,5,TN (FD),0.0001,6,2.7568650752721155e-14,True,0.0022561252117156982,"[1.3916242059429247, 2.1145271650499184, 2.005351560486966, 1.1029413005141546, 0.07578510922635227, 1.6543028360054323e-05, 2.7568650752721155e-14]"
2,5,MN (FD),1e-08,3,1.0639151749642397e-06,True,0.0008738329634070396,"[1.3916242059429247, 0.6600902937254385, 0.018437087213771648, 1.0639151749642397e-06]"
2,5,TN (FD),1e-08,6,5.79026810860043e-14,True,0.0009310408495366573,"[1.3916242059429247, 2.1145271650499184, 2.005351626893022, 1.102941506405989, 0.07578514490439055, 1.6543232104528777e-05, 5.79026810860043e-14]"
2,5,MN (FD),1e-12,15,8.683700633449476e-06,True,0.004381000064313412,"[1.3916242059429247, 0.6600930448111748, 0.2794170578029689, 0.12526076259380675, 0.056348870791913086, 0.025366244760352652, 0.011420456479567132, 0.005141912818478533, 0.0023151407039893046, 0.0010423881288034176, 0.00046931768796820705, 0.00021130589055029514, 9.513849685383047e-05, 4.283592930065527e-05, 1.928647578397502e-05, 8.683700633449476e-06]"
2,5,TN (FD),1e-12,6,3.4086158075830113e-10,True,0.001005374826490879,"[1.3916242059429247, 2.1145271650499184, 2.005368496176499, 1.1026483445868234, 0.07578831980721247, 1.2998234675463156e-05, 3.4086158075830113e-10]"
1000,0,MN (Exact),,5,2.401350347220962e-08,True,0.09496595896780491,"[15384.119638066404, 9687.107284610935, 1163.0898390279644, 1.698844570344456, 0.007587632526585702, 2.401350347220962e-08]"
1000,0,TN (Exact),,19,1.1553322105189796e-06,True,0.1029901672154665,"[15384.119638066404, 11149.647741158205, 5099.348002832896, 1216.2700646304675, 406.1344302343201, 152.31824718642372, 73.00034681306136, 33.36636274528942, 16.18727686562184, 8.225260224884268, 4.27911472212491, 2.101639052057845, 1.0462874744302717, 0.5153364248793909, 0.23531564670285612, 0.09379234215116802, 0.020270440147663653, 0.002401910288174378, 0.00011565346334911556, 1.1553322105189796e-06]"
1000,0,MN (FD),0.0001,5,2.394008254826566e-08,True,0.0893199173733592,"[15384.119638066404, 9687.107324871686, 1163.089875435185, 1.6987380859673211, 0.0075843642558386945, 2.394008254826566e-08]"
1000,0,TN (FD),0.0001,21,3.278589538943888e-08,True,0.09072754113003612,"[15384.119638066404, 11149.647771851602, 5099.348079736266, 1216.270075159931, 406.13442881357975, 152.31824835872948, 73.0003469990685, 33.36636256537831, 16.18727677138822, 8.512391226192282, 9.024470229594792, 4.422049882192816, 2.193179634844069, 1.0629421668026207, 0.467616343664852, 0.23169619017687107, 0.11103746901572134, 0.036622228307038776, 0.006911450481308677, 0.0004902005372591756, 1.081478977957715e-05, 3.278589538943888e-08]"
1000,0,MN (FD),1e-08,5,5.450891355304968e-07,True,0.0774922501295805,"[15384.119638066404, 9687.107372507127, 1163.0898134457157, 1.69712898128536, 0.007496272153138534, 5.450891355304968e-07]"
1000,0,TN (FD),1e-08,19,2.573231220838567e-06,True,0.08344862516969442,"[15384.119638066404, 11149.64779797224, 5099.348063912073, 1216.2700701606682, 406.1344289418068, 152.31824794490336, 73.00034746654669, 33.36636303876224, 16.18727676218751, 8.260705061140612, 4.01076176732928, 1.8559772912924992, 0.9169290911759901, 0.40949452311248496, 0.20455028912952686, 0.08660767231887685, 0.024077246763463653, 0.0036795256135300435, 0.00021000219067230432, 2.573231220838567e-06]"
